review,sentiment,,,,,
 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,,,,,
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,,,,,
 happy bday!,positive,,,,,
 http://twitpic.com/4w75p - I like it!!,positive,,,,,
 that`s great!! weee!! visitors!,positive,,,,,
I THINK EVERYONE HATES ME ON HERE   lol,negative,,,,,
" soooooo wish i could, but im in school and myspace is completely blocked",negative,,,,,
My bike was put on hold...should have known that.... argh total bummer,negative,,,,,
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,,,,,
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,,,,,
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,,,,,
 Miss you,negative,,,,,
Cramps . . .,negative,,,,,
 you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,,,,,
Stupid storm. No river for us tonight,negative,,,,,
My dead grandpa pays more attention to me than you do,negative,,,,,
"... need retail therapy, bad. AHHH.....gimme money geebus",negative,,,,,
 you are lame  go make me breakfast!!,negative,,,,,
 thats so cool,positive,,,,,
 look who I found just for you  --->  http://twitter.com/DJT2009,positive,,,,,
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,,,,,
Watching Body of Lies...good film,positive,,,,,
Happy mothers day mumm  xoxo,positive,,,,,
 I`m sorry  at least it`s Friday?,negative,,,,,
"feels sorry every time I`m printing out, I use like 200 new papers",negative,,,,,
 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,,,,,
" Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive,,,,,
  Hope ur havin fun in da club,positive,,,,,
thinks SG is wonderful,positive,,,,,
  im really sorry i know wallah how u feel this life is shittttttttt,negative,,,,,
Not happy,negative,,,,,
I`m so very tired...and have insomnia.,negative,,,,,
 Thanks Ennio,positive,,,,,
" You seem nice, you`re generous and you know your stuff",positive,,,,,
   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,,,,,
"Dear rain, you suck. Now I gotta change my plans for tonight",negative,,,,,
I just cried whilst watching hollyoaks  .. i need a life! lol,negative,,,,,
"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,,,,,
" for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,,,,,
"On the monday, so i wont be able to be with you!  i love you",positive,,,,,
" Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,,,,,
_LaMont yr very young looking dude,positive,,,,,
": hmmm, wrong link, ignore my tweet",negative,,,,,
AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative,,,,,
Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,,,,,
" yep, i wish they were all playing dubiln",positive,,,,,
 Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,,,,,
Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,,,,,
 Thank you!  I`m working on `s,positive,,,,,
Not feeling all that well today,negative,,,,,
"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative,,,,,
The underwire in my bra is sticking out and poking me in the armpit,negative,,,,,
Happy Mothers Day!!!,positive,,,,,
Happy star wars day! May the fourth be with you,positive,,,,,
i just watched Marley & Me...i cried so hard!,negative,,,,,
 haaaw..well i get out of class at 10:50..i hope i make it,positive,,,,,
"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",positive,,,,,
FML not having a car is prohibiting finding a job,negative,,,,,
 I want to see David cook!!,positive,,,,,
 yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative,,,,,
 yay about breaking 200!,positive,,,,,
 bahah sadly I am not,negative,,,,,
 i always have those for my Champions League parties  Tis awesome,positive,,,,,
" well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive,,,,,
 thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative,,,,,
"Playin City of Villains, wishin my buddies were playin with me.....",positive,,,,,
" yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive,,,,,
 I liked it.  Did you record it yourself?  If so you have a very soothing voice.,positive,,,,,
" Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",positive,,,,,
 you`re the absoute best,positive,,,,,
 Welcome!,positive,,,,,
"just got home from a nice party, just not tired yet",positive,,,,,
Now I have a sunburn,negative,,,,,
I have the Job  this is a nice day it can not be better,positive,,,,,
I wish I could go to #BEA this weekend.,positive,,,,,
 love your books,positive,,,,,
ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,negative,,,,,
Im Slowing on My Tweets..Cuase I Lost My Phone,negative,,,,,
 well thank your phone for me.,positive,,,,,
 why would they take a photo with stuffed animals?! that`s pretty funny,positive,,,,,
tikcets are only ï¿½91...each...BUT I SO WANT TO GO,positive,,,,,
 Happy Mothers Day,positive,,,,,
 It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,negative,,,,,
